id_no,tweet_id,tweet_created_at,tweet_text,in_reply to status_id,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,favorite_count,retweet_count,source,user_location,entities,followers_count,foliowing,friends_count,follow_request_sent,user_name,user_protected,user_verified,lang,user_description,geo_enabled,user_screen_name,user_statuses_count,tweet_truncated,tweet_is_quote_status
11,1310865139709566976,2020-09-29 08:52:58,"By concentrating on a mirror, a teenage politician is able to kill an angel in Nepal.",None,None,None,None,None,204,22,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
12,1310804740003917825,2020-09-29 04:52:58,"By eating a cherry, you can reach a parallel universe. It is like San Francisco, with more banjoes.",None,None,None,None,None,1083,241,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
13,1310744340336054273,2020-09-29 00:52:57,A schoolmistress invents a better version of romance: Eating cauliflowers.,None,None,None,None,None,395,90,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
14,1310683940680654848,2020-09-28 20:52:57,An Alaskan duchess builds a house of mirrors that is filled with true love.,None,None,None,None,None,222,38,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
15,1310623541113450496,2020-09-28 16:52:57,A woolly mammoth made of balloons is born in Williamsburg.,None,None,None,None,None,132,22,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
16,1310563141508411392,2020-09-28 12:52:56,An English lawyer spends all her time writing a mathematical treatise about puppets.,None,None,None,None,None,146,24,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
17,1310502741848932353,2020-09-28 08:52:56,You find out that you are made of air.,None,None,None,None,None,591,122,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
18,1310442342231359488,2020-09-28 04:52:55,You wake up in a ruined city. You can hear the faint sound of a flute.,None,None,None,None,None,1551,295,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
19,1310381942768975875,2020-09-28 00:52:55,"A goddess from the future appears at the marriage of a Bavarian prime minister. It says: ""I am here to marry you.""",None,None,None,None,None,256,33,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
20,1310321543478534144,2020-09-27 20:52:55,There is a sushi roll in Iceland that is infinitely long.,None,None,None,None,None,626,106,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
21,1310261143902932992,2020-09-27 16:52:54,"A caterpillar starts talking to you. It says: ""Be compassionate to pharmacists.""",None,None,None,None,None,432,91,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
22,1310200744226648065,2020-09-27 12:52:54,A grandfather owns a map which shows the location of every peacock in Marrakech.,None,None,None,None,None,261,35,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
23,1310140344739139584,2020-09-27 08:52:54,A gas station attendant steals childhood dreams and hides them inside a ziggurat.,None,None,None,None,None,290,54,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
24,1310140344739139584,2020-09-27 08:52:54,A gas station attendant steals childhood dreams and hides them inside a ziggurat.,None,None,None,None,None,290,54,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
25,1310079945192824834,2020-09-27 04:52:53,"On the night of the full moon a sentence is inscribed on a copper disc. It reads: ""Be kind to sculptors.""",None,None,None,None,None,361,59,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
26,1310019545499721735,2020-09-27 00:52:53,A scientist dreams about every evil deed that has taken place in Russia.,None,None,None,None,None,232,35,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
27,1309959145873764352,2020-09-26 20:52:52,A poet listens to a jazz record that plays the music of the Cuban Missile Crisis.,None,None,None,None,None,301,47,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
28,1309898746340151297,2020-09-26 16:52:52,A parachute levitates above you. It has escaped from a maze in Colorado.,None,None,None,None,None,144,17,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
29,1309838347011932160,2020-09-26 12:52:52,A Latvian duke invents a new cosmology based on the movement of seahorses.,None,None,None,None,None,201,33,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
30,1309777947415343106,2020-09-26 08:52:51,A satrap is being followed by a bumble bee made of ice on an Athenian desert.,None,None,None,None,None,71,7,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
31,1309717547659321344,2020-09-26 04:52:51,A Babylonian watchmaker sees an island in the shape of a goose.,None,None,None,None,None,199,30,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
32,1309657148243079168,2020-09-26 00:52:51,An empress swallows a glass labyrinth.,None,None,None,None,None,284,57,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
33,1309596748629721089,2020-09-25 20:52:50,A sorceress owns a painting by Michelangelo which depicts every birth by a Greek god.,None,None,None,None,None,306,58,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
34,1309536349062479873,2020-09-25 16:52:50,A maharajah is naked in the belly of a scorpion.,None,None,None,None,None,114,9,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
35,1309475949436481536,2020-09-25 12:52:49,A compass is chosen to be the next CEO of Facebook.,None,None,None,None,None,350,48,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
36,1309415549881872385,2020-09-25 08:52:49,Three hundred popes imagine a rollercoaster into existence.,None,None,None,None,None,280,39,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
37,1309355150436229120,2020-09-25 04:52:49,An Iraqi psychiatrist establishes a clinic for churches.,None,None,None,None,None,89,9,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
38,1309294750759936000,2020-09-25 00:52:48,A Dutch TV station airs a show about twilight that continues for 281 billion years.,None,None,None,None,None,238,44,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
39,1309234351138246656,2020-09-24 20:52:48,A polyamorous butler falls in love with the end of the world.,None,None,None,None,None,1265,253,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
40,1309173951390679042,2020-09-24 16:52:47,"A hermit is writing a list. It has three items: A pigeon, a pun, and moonlight.",None,None,None,None,None,338,59,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
41,1309113551781597187,2020-09-24 12:52:47,At dusk all the children in Seattle are replaced by wedding rings.,None,None,None,None,None,216,30,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
42,1309053151975272449,2020-09-24 08:52:47,A grandmother suddenly turns into an apple. Nobody notices.,None,None,None,None,None,865,133,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
43,1308992752072482817,2020-09-24 04:52:46,A sailor is found dead in a locked room. Next to her is a billiard ball and a drunk eel. Can you explain what happened?,None,None,None,None,None,496,78,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
44,1308992752072482817,2020-09-24 04:52:46,A sailor is found dead in a locked room. Next to her is a billiard ball and a drunk eel. Can you explain what happened?,None,None,None,None,None,496,78,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
45,1308932352416968705,2020-09-24 00:52:46,An hourglass falls into a pool filled with kerosene.,None,None,None,None,None,217,47,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
46,1308871952623378433,2020-09-23 20:52:45,In Alexandria there is a flower that is the colour of flowers.,None,None,None,None,None,962,188,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
47,1308811553139912707,2020-09-23 16:52:45,A tiny metal sphere creates feelings of anger and resentment in everyone nearby.,None,None,None,None,None,494,75,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
48,1308751153501335553,2020-09-23 12:52:45,Nine zombies are on a secret mission. Their aim is to defeat a Madagascan duchess.,None,None,None,None,None,217,28,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
49,1308690753825042432,2020-09-23 08:52:44,A princess keeps an unusual possession in a locked box: A gondola covered in topazes.,None,None,None,None,None,153,21,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
50,1308630354199154693,2020-09-23 04:52:44,A tsarina is assassinated. The killer is revealed to be a model train.,None,None,None,None,None,383,50,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
51,1308569954648686593,2020-09-23 00:52:43,An alchemist is reading a treatise by Wittgenstein on the subject of pianos.,None,None,None,None,None,191,30,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
52,1308509555077214208,2020-09-22 20:52:43,A lettuce made of hunger appears in Tasmania.,None,None,None,None,None,135,15,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
53,1308449155761672192,2020-09-22 16:52:43,There is a hailstorm in the Garden of Eden. It hails art galleries.,None,None,None,None,None,270,49,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
54,1308388756504805377,2020-09-22 12:52:42,A nihilistic carpenter has a sixth sense: He can feel the presence of lilies.,None,None,None,None,None,591,85,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
55,1308328356971126785,2020-09-22 08:52:42,A panther sets out on a journey to queer theory.,None,None,None,None,None,340,53,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
56,1308267957475106816,2020-09-22 04:52:42,A philosopher is falling in love with honey.,None,None,None,None,None,684,115,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
57,1308207557886918656,2020-09-22 00:52:41,"A historian is singing Cher's ""Believe"" inside Neptune.",None,None,None,None,None,432,102,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
58,1308147158277746689,2020-09-21 20:52:41,In Mongolia there is a house of mirrors which is trapped inside a book.,None,None,None,None,None,241,49,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
59,1308086758941192192,2020-09-21 16:52:41,"An Afghan solicitor hears of a merry-go-round located inside a sapphire, and dedicates his life to finding it.",None,None,None,None,None,106,14,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
60,1308026359277432832,2020-09-21 12:52:40,"A sultan hears of a city inside an art gallery, and wishes to visit it.",None,None,None,None,None,267,43,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
61,1307965959664070656,2020-09-21 08:52:40,A platinum city covers the whole of Addis Ababa.,None,None,None,None,None,65,7,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
62,1307905560046522368,2020-09-21 04:52:39,A safety deposit box in Antarctica contains the number zero.,None,None,None,None,None,705,112,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
63,1307845160668033024,2020-09-21 00:52:39,A little girl sits on a swing in a castle. She is thinking about meaninglessness. There is a unicorn standing right behind her.,None,None,None,None,None,760,170,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
64,1307845160668033024,2020-09-21 00:52:39,A little girl sits on a swing in a castle. She is thinking about meaninglessness. There is a unicorn standing right behind her.,None,None,None,None,None,760,170,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
65,1307784761167863808,2020-09-20 20:52:39,A talented cook bakes a birthday cake for asexuality.,None,None,None,None,None,575,122,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
66,1307724361676201985,2020-09-20 16:52:38,A Panamanian notebook describes an enormous machine made of cardboard that gives you power over endometriosis.,None,None,None,None,None,121,8,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
67,1307663961882390528,2020-09-20 12:52:38,A deeply depressed emperor walks into a forest and discovers a juniper tree made of the Enlightenment.,None,None,None,None,None,576,99,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
68,1307603562252267521,2020-09-20 08:52:37,A 21-year-old queen writes a manuscript that is made out of toilets.,None,None,None,None,None,234,25,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
69,1307543162898935811,2020-09-20 04:52:37,A South African viceroy steals a porcelain book of poetry.,None,None,None,None,None,125,16,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
70,1307482763247800322,2020-09-20 00:52:37,A witch owns a teapot which allows her to turn into a city.,None,None,None,None,None,650,111,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
71,1307422363596632065,2020-09-19 20:52:36,An army major can move hospitals with her mind.,None,None,None,None,None,115,10,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
72,1307361963593199616,2020-09-19 16:52:36,A film director saves up his money in order to buy Google.,None,None,None,None,None,209,19,Borges Bot,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",129065,False,0,False,Magic Realism Bot,False,False,en,"I generate a magical story every 4 hours. 
Made by @chrisrodley & @yeldora_.",False,MagicRealismBot,19921,False,False
